station_name,total_traffic,stationID,线路,站点,体育休闲服务,医疗保健服务,住宿服务,风景名胜,科教文化服务,交通枢纽,生活类服务,公司,住宅区
七堡站,354089,17,1,七堡站,6,8,0,0,17,24,136,35,8
三坝站,707429,59,2,三坝站,59,73,81,1,269,222,1890,881,14
三墩站,566558,61,2,三墩站,28,90,21,3,103,172,1801,231,38
下沙江滨站,452807,27,1,下沙江滨站,18,34,18,0,38,59,476,68,45
下沙西站,325148,21,1,下沙西站,5,5,23,3,9,35,322,144,9
中医药大学站,502936,69,4,中医药大学站,9,2,0,0,6,11,20,10,7
中河北路站,611366,50,2,中河北路站,154,166,232,30,405,598,2708,1532,648
丰潭路站,788741,57,2,丰潭路站,133,122,74,3,286,201,2678,665,27
临平站,1133141,33,1,临平站,19,18,3,2,21,44,294,62,11
乔司南站,215495,28,1,乔司南站,14,10,5,1,7,28,1039,259,6
乔司站,524372,29,1,乔司站,7,2,0,0,0,10,206,75,3
九和路站,819925,18,1,九和路站,129,74,62,10,262,409,2551,1069,323
九堡站,506926,19,1,九堡站,26,29,53,2,45,130,1738,586,17
云水站,496732,26,1,云水站,42,42,43,2,145,117,1273,146,131
人民广场站,621685,39,2,人民广场站,72,64,30,5,230,304,2281,688,41
人民路站,531099,37,2,人民路站,82,152,55,14,201,227,2266,548,40
余杭高铁站,209000,31,1,余杭高铁站,1,1,0,3,10,13,43,105,0
凤起路A站,1425266,10,1,凤起路A站,209,182,322,68,362,658,2787,1546,360
凤起路B站,622870,51,2,凤起路B站,209,182,322,68,362,658,2787,1546,360
南星桥站,539041,73,4,南星桥站,53,39,45,13,102,160,1049,567,40
南苑站,400984,32,1,南苑站,128,146,173,14,428,505,2453,1494,390
古翠路站,928940,56,2,古翠路站,127,229,67,5,315,408,2577,1169,421
城星路站,636140,75,4,城星路站,44,44,29,9,112,263,1511,1130,121
城站,1717322,7,1,城站,48,118,209,18,150,318,2218,1152,145
墩祥街站,546244,62,2,墩祥街站,45,121,17,2,216,224,1855,170,43
复兴路站,199541,72,4,复兴路站,42,37,42,7,106,193,1237,610,27
婺江路站,515350,6,1,婺江路站,36,47,38,2,80,140,1600,432,36
学院路站,786852,55,2,学院路站,113,63,109,7,446,507,2629,1488,269
定安路站,1221948,8,1,定安路站,133,178,434,115,327,506,2828,1245,177
客运中心站,1286745,20,1,客运中心站,32,38,22,3,31,85,810,146,28
市民中心站,789922,76,4,市民中心站,56,28,26,10,73,193,1820,956,34
庆春广场站,827952,47,2,庆春广场站,125,105,69,5,272,438,2689,1292,420
庆菱路站,567650,48,2,庆菱路站,95,180,46,14,220,313,2274,1052,872
建国北路站,731436,49,2,建国北路站,116,250,95,16,236,476,2602,1237,780
建设一路站,315342,40,2,建设一路站,16,25,17,3,11,99,1307,387,10
建设三路站,493092,41,2,建设三路站,37,24,37,1,34,165,1050,600,8
彭埠站,1101402,16,1,彭埠站,28,33,48,4,48,46,620,136,15
打铁关站,1063452,13,1,打铁关站,94,115,87,5,251,396,2080,1159,63
振宁路站,629352,42,2,振宁路站,12,27,27,2,53,89,654,324,16
文新站,692540,58,2,文新站,128,146,173,14,428,505,2453,1494,390
文泽路站,953312,24,1,文泽路站,38,14,21,4,204,92,1929,209,26
文海南路站,789668,25,1,文海南路站,27,7,2,6,133,73,651,97,22
新塘站,307460,79,4,新塘站,128,146,173,14,428,505,2453,1494,390
新风站,230613,80,4,新风站,128,146,173,14,428,505,2453,1494,390
景芳站,828652,78,4,景芳站,126,81,71,11,279,416,2625,1176,567
曹家桥站,219397,35,2,曹家桥站,10,11,6,1,39,52,335,72,11
朝阳站,374336,34,2,朝阳站,3,2,2,1,13,34,128,95,6
杜甫村站,430085,65,2,杜甫村站,22,15,1,0,17,22,387,33,12
杨家墩站,311488,68,4,杨家墩站,33,35,25,0,42,80,1246,69,17
杭发厂站,560784,38,2,杭发厂站,79,29,33,3,80,206,1817,672,25
武林广场站,1357536,11,1,武林广场站,180,88,173,23,391,516,2726,1332,188
武林门站,749329,52,2,武林门站,180,88,173,23,391,516,2726,1332,188
水澄桥站,325663,71,4,水澄桥站,10,17,11,7,26,70,551,189,18
江锦路站,714091,77,4,江锦路站,57,33,35,5,85,203,1828,841,21
江陵路站,1691334,4,1,江陵路站,47,44,38,4,134,207,1649,872,8
沈塘桥站,882482,53,2,沈塘桥站,115,184,95,10,448,456,2370,1409,610
浦沿站,332671,67,4,浦沿站,39,28,35,0,77,128,924,271,17
湘湖站,527896,0,1,湘湖站,3,5,2,3,6,21,82,22,10
滨和路站,649577,3,1,滨和路站,39,89,22,1,169,115,1638,157,18
滨康路站,324093,1,1,滨康路站,12,29,30,4,42,68,614,195,44
潘水站,306512,36,2,潘水站,1,1,1,1,1,16,34,38,4
火车东站,4698896,15,4,火车东站,28,25,112,2,29,197,686,158,11
甬江路站,158011,74,4,甬江路站,39,30,6,0,74,146,660,256,20
白洋站,265065,64,2,白洋站,6,12,5,1,25,33,243,53,7
盈丰路站,508585,44,2,盈丰路站,23,11,27,1,40,52,382,519,8
翁梅站,402534,30,1,翁梅站,7,11,4,0,15,23,414,104,7
联庄站,483963,70,4,联庄站,36,47,40,2,128,136,1176,311,35
良渚站,313249,66,2,良渚站,32,44,31,2,68,41,1541,207,11
虾龙圩站,511831,60,2,虾龙圩站,45,57,67,2,114,244,2115,971,19
西兴站,880610,2,1,西兴站,19,12,25,1,34,87,642,630,13
西湖文化广场站,1276118,12,1,西湖文化广场站,147,67,92,17,302,391,2326,1209,56
近江站,1007627,5,4,近江站,82,76,21,6,197,272,1827,584,38
金家渡站,572512,63,2,金家渡站,51,28,22,6,72,133,1653,311,18
金沙湖站,1122989,22,1,金沙湖站,136,83,129,1,205,199,2712,513,28
钱江世纪城站,584792,45,2,钱江世纪城站,5,4,13,1,12,31,85,86,4
钱江路站,948517,46,2,钱江路站,103,241,56,4,327,382,2377,1147,500
钱江路站,948517,46,4,钱江路站,103,241,56,4,327,382,2377,1147,500
闸弄口站,1013683,14,1,闸弄口站,59,106,76,13,129,226,1957,766,63
飞虹路站,512209,43,2,飞虹路站,17,8,20,1,28,48,310,218,12
高沙路站,527414,23,1,高沙路站,136,76,289,1,194,209,2670,462,25
龙翔桥站,2573607,9,1,龙翔桥站,190,172,288,85,249,542,2884,1273,159
