station_name,time,total_traffic,最高气温℃,最低气温℃,work,trip_count,体育休闲服务_proportion,医疗保健服务_proportion,住宿服务_proportion,风景名胜_proportion,科教文化服务_proportion,交通枢纽_proportion,生活类服务_proportion,公司_proportion,住宅区_proportion,pay_type_0_proportion,pay_type_1_proportion,pay_type_2_proportion,pay_type_3_proportion,天气_中雨,天气_多云,天气_小雨,天气_晴,天气_阴,风向_东北风,风向_东风,风向_北风,风向_西北风,风力_北风3-4级,风力_微风,past_1_day_flow,past_2_day_flow,past_3_day_flow,past_4_day_flow,past_5_day_flow,past_6_day_flow,past_7_day_flow
下沙西站,2019-01-01,10488,6,1,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,True,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下沙西站,2019-01-02,13853,5,3,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,False,True,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下沙西站,2019-01-03,14105,9,4,1,1142414,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,True,False,False,True,10488.0,0.0,0.0,0.0,0.0,0.0,0.0
下沙西站,2019-01-04,13694,8,5,1,1207362,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,True,False,False,False,False,False,False,True,False,False,True,10488.0,13853.0,0.0,0.0,0.0,0.0,0.0
下沙西站,2019-01-05,10808,6,3,0,1002837,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,True,False,False,False,False,False,False,True,False,False,True,10488.0,13853.0,14105.0,0.0,0.0,0.0,0.0
下沙西站,2019-01-06,9357,7,4,0,970225,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,True,False,False,False,True,10488.0,13853.0,14105.0,13694.0,0.0,0.0,0.0
下沙西站,2019-01-07,13838,8,5,1,1124255,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,True,False,False,True,10488.0,13853.0,14105.0,13694.0,10808.0,0.0,0.0
下沙西站,2019-01-08,13921,6,4,1,1148216,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,False,True,True,False,False,False,False,True,10488.0,13853.0,14105.0,13694.0,10808.0,9357.0,0.0
下沙西站,2019-01-09,13717,6,6,1,1136026,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,True,False,False,True,13853.0,14105.0,13694.0,10808.0,9357.0,13838.0,0.0
下沙西站,2019-01-10,13668,8,6,1,1154171,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,True,False,False,True,14105.0,13694.0,10808.0,9357.0,13838.0,13921.0,0.0
下沙西站,2019-01-11,13636,8,5,1,1245880,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,True,False,False,False,False,False,False,False,True,False,True,13694.0,10808.0,9357.0,13838.0,13921.0,13717.0,0.0
下沙西站,2019-01-12,10917,8,2,0,1079366,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,False,True,False,False,True,False,False,True,10808.0,9357.0,13838.0,13921.0,13717.0,13668.0,0.0
下沙西站,2019-01-13,9798,8,2,0,1027484,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,True,False,False,False,True,False,False,True,9357.0,13838.0,13921.0,13717.0,13668.0,13636.0,0.0
下沙西站,2019-01-14,14078,8,4,1,1193722,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,True,False,False,False,True,13838.0,13921.0,13717.0,13668.0,13636.0,10917.0,0.0
下沙西站,2019-01-15,13446,7,4,1,1149566,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,True,False,True,False,13921.0,13717.0,13668.0,13636.0,10917.0,9798.0,0.0
下沙西站,2019-01-16,14245,7,1,1,1204034,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,True,False,False,False,False,False,True,False,False,True,13717.0,13668.0,13636.0,10917.0,9798.0,14078.0,0.0
下沙西站,2019-01-17,14436,7,0,1,1232626,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,True,False,False,False,True,False,False,True,13668.0,13636.0,10917.0,9798.0,14078.0,13446.0,0.0
下沙西站,2019-01-18,14696,11,2,1,1326806,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,True,False,False,False,True,False,False,True,13636.0,10917.0,9798.0,14078.0,13446.0,14245.0,0.0
下沙西站,2019-01-19,11345,8,5,0,1100012,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,False,True,False,False,True,False,False,True,10917.0,9798.0,14078.0,13446.0,14245.0,14436.0,0.0
下沙西站,2019-01-20,10074,9,2,0,1053040,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,True,False,False,False,False,False,True,False,False,True,9798.0,14078.0,13446.0,14245.0,14436.0,14696.0,0.0
下沙西站,2019-01-21,14307,7,0,1,1228000,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,True,False,False,False,False,False,True,False,False,True,14078.0,13446.0,14245.0,14436.0,14696.0,11345.0,0.0
下沙西站,2019-01-22,14356,11,1,1,1232904,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,True,False,False,False,True,False,False,True,13446.0,14245.0,14436.0,14696.0,11345.0,10074.0,0.0
下沙西站,2019-01-23,14533,12,1,1,1256354,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,True,False,False,False,True,False,False,True,14245.0,14436.0,14696.0,11345.0,10074.0,14307.0,0.0
下沙西站,2019-01-24,13984,11,1,1,1253625,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,True,False,False,False,True,False,False,True,14436.0,14696.0,11345.0,10074.0,14307.0,14356.0,0.0
下沙西站,2019-01-25,13848,9,2,1,1281946,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,True,False,False,False,False,False,True,False,False,True,14696.0,11345.0,10074.0,14307.0,14356.0,14533.0,0.0
